SMA,Bahasa Indonesia,Bahasa Inggris,Matematika,Fisika,Kimia,Biologi
SMA NEGERI 1 SURABAYA,84,79,59,62,66,68
SMA NEGERI 2 SURABAYA,87,86,65,66,74,79
